sample	sex	age	material	material2	loc	loc2	Nx	Na	Lx	La
E460	M	4969	tusk	tusk	Wrangel Island	Wrangel	178325	9274844	120050768	3050898245
E461	F	4959	bone	bone	Wrangel Island	Wrangel	84004	2405778	120050768	3050898245
E463	M	4820	tooth	tooth	Wrangel Island	Wrangel	12587	660940	120050768	3050898245
E464	M	4726	tooth	tooth	Wrangel Island	Wrangel	221973	11686486	120050768	3050898245
E465	M	4643	tusk	tusk	Wrangel Island	Wrangel	15914	822213	120050768	3050898245
E466	F	4354	tusk	tusk	Wrangel Island	Wrangel	29864	807444	120050768	3050898245
E467	M	4336	tooth	tooth	Wrangel Island	Wrangel	190971	9988579	120050768	3050898245
E468	M	4079	tusk	tusk	Wrangel Island	Wrangel	36467	1851470	120050768	3050898245
E469	M	4024	tooth	tooth	Wrangel Island	Wrangel	13412	697183	120050768	3050898245
E470	M	41632	bone	bone	Wrangel Island	Wrangel	30830	1630966	120050768	3050898245
E471	M	26700	bone	bone	Wrangel Island	Wrangel	12505	668108	120050768	3050898245
GilbertM1	M	NA	hair	hair	Siberia - unknown	Other	3993	246806	120050768	3050898245
GilbertM15	F	16996	hair	hair	Chaun Bay - Ayon Island	Other	2951	96216	120050768	3050898245
GilbertM18	M	20655	hair	hair	Gydan Peninsula	Other	3032	167481	120050768	3050898245
GilbertM19	M	22434	hair	hair	Yakutia	Other	20004	1065040	120050768	3050898245
GilbertM2	M	24507	hair	hair	Taimyr	Other	3877	224888	120050768	3050898245
GilbertM20	F	NA	hair	hair	New Siberian Islands	Other	322	9470	120050768	3050898245
GilbertM22	M	50304	hair	hair	New Siberian Islands	Other	2342	125507	120050768	3050898245
GilbertM26	M	28769	hair	hair	Indigirka	Other	3002	168763	120050768	3050898245
GilbertM3	M	24833	hair	hair	Taimyr	Other	2847	164717	120050768	3050898245
GilbertM4	M	22422	hair	hair	Siberia - unknown	Other	3967	223583	120050768	3050898245
GilbertM5	M	NA	hair	hair	Siberia - unknown	Other	3500	205255	120050768	3050898245
GilbertM8	M	46962	hair	hair	Magadan	Other	1893	115890	120050768	3050898245
L152	M	23891	tooth	tooth	Chaun Bay - Mosey Island	Other	33172	1727191	120050768	3050898245
L155	F	49999	tooth	tooth	Chaun Bay - Kyttyk Peninsula	Other	39585	1100661	120050768	3050898245
L156	M	49466	femur	bone	Chaun Bay - Kyttyk Peninsula	Other	42908	2334363	120050768	3050898245
L157	F	32799	NA	NA	Chaun Bay - Kyttyk Peninsula	Other	470	14112	120050768	3050898245
L158	M	14419	humerus	bone	Chaun Bay - Pineyveem River	Other	45126	2434533	120050768	3050898245
L161	M	37117	NA	NA	Chaun Bay - Kyttyk Peninsula	Other	205	9413	120050768	3050898245
L163	F	30525	tusk	tusk	Chaun Bay - Pineyveem River	Other	145858	3893134	120050768	3050898245
L164	F	16901	tusk	tusk	Chaun Bay - Pineyveem River	Other	247037	6286535	120050768	3050898245
L166	M	35344	tusk	tusk	Chaun Bay - Nagleyngyveem River	Other	8401	438393	120050768	3050898245
L269	F	17321	vertebra	bone	Chaun Bay - Ayon Island	Other	3137	94690	120050768	3050898245
L270	F	32611	tooth	tooth	Chaun Bay - Nagleyngyveem River	Other	2763	81715	120050768	3050898245
L273	M	18276	tusk	tusk	Pegtymel River	Other	778	39704	120050768	3050898245
L278	M	27724	NA	NA	Chaun Bay - Nagleyngyveem River	Other	1236	65606	120050768	3050898245
L281	M	29737	tibia	bone	Chaun Bay - Ayon Island	Other	55638	2952671	120050768	3050898245
L380	M	8874	tusk	tusk	Wrangel Island	Wrangel	4356	226384	120050768	3050898245
L382	F	5166	bone	bone	Wrangel Island	Wrangel	3202	94258	120050768	3050898245
L385	F	6074	tooth	tooth	Wrangel Island	Wrangel	140362	3983600	120050768	3050898245
L386	M	7336	tooth	tooth	Wrangel Island	Wrangel	170940	9188580	120050768	3050898245
L387	F	5601	tooth	tooth	Wrangel Island	Wrangel	176243	5043800	120050768	3050898245
L399	M	7846	NA	NA	Wrangel Island	Wrangel	5211	279215	120050768	3050898245
L401	M	7474	tooth	tooth	Wrangel Island	Wrangel	1051	55432	120050768	3050898245
L402	M	5178	tooth	tooth	Wrangel Island	Wrangel	5737	307527	120050768	3050898245
L403	M	7081	tooth	tooth	Wrangel Island	Wrangel	6014	314372	120050768	3050898245
L405	M	8378	NA	NA	Wrangel Island	Wrangel	1472	78196	120050768	3050898245
L406	M	10062	tooth	tooth	Wrangel Island	Wrangel	1126	58721	120050768	3050898245
L410	M	14408	tooth	tooth	Wrangel Island	Wrangel	36383	1931681	120050768	3050898245
L411	M	8483	tooth	tooth	Wrangel Island	Wrangel	417	21054	120050768	3050898245
L417	M	48182	tooth	tooth	Wrangel Island	Wrangel	12398	663589	120050768	3050898245
L421	M	5600	tooth	tooth	Wrangel Island	Wrangel	477	25512	120050768	3050898245
L424	F	6441	tooth	tooth	Wrangel Island	Wrangel	682	20487	120050768	3050898245
L450	F	8871	bone	bone	Wrangel Island	Wrangel	20812	613996	120050768	3050898245
L459	M	7060	tusk	tusk	Wrangel Island	Wrangel	1061	53380	120050768	3050898245
L463	M	6247	tusk	tusk	Wrangel Island	Wrangel	1817	95122	120050768	3050898245
L465	M	8703	tusk	tusk	Wrangel Island	Wrangel	17402	953354	120050768	3050898245
L468	M	8491	bone	bone	Wrangel Island	Wrangel	26616	1411842	120050768	3050898245
L469	M	5977	tooth	tooth	Wrangel Island	Wrangel	766	39752	120050768	3050898245
L476	F	31228	bone	bone	Wrangel Island	Wrangel	2209	64487	120050768	3050898245
L477	M	9518	tusk	tusk	Wrangel Island	Wrangel	4731	245243	120050768	3050898245
L478	M	9017	NA	NA	Wrangel Island	Wrangel	971	49402	120050768	3050898245
L479	M	9408	bone	bone	Wrangel Island	Wrangel	3870	211199	120050768	3050898245
L483	M	8825	tusk	tusk	Wrangel Island	Wrangel	519	26082	120050768	3050898245
M10	F	10077	bone	bone	Wrangel Island	Wrangel	2040	60096	120050768	3050898245
M11	F	9957	bone	bone	Wrangel Island	Wrangel	4473	130515	120050768	3050898245
M12	M	8886	tooth	tooth	Wrangel Island	Wrangel	5011	272553	120050768	3050898245
M14	F	8677	tusk	tusk	Wrangel Island	Wrangel	8140	222673	120050768	3050898245
M15	F	8491	tusk	tusk	Wrangel Island	Wrangel	2254	66629	120050768	3050898245
M17	M	8318	tooth	tooth	Wrangel Island	Wrangel	204612	10935569	120050768	3050898245
M18	M	8075	tooth	tooth	Wrangel Island	Wrangel	1351	70323	120050768	3050898245
M22	M	7469	tooth	tooth	Wrangel Island	Wrangel	2354	125250	120050768	3050898245
M23	M	7470	tusk	tusk	Wrangel Island	Wrangel	160317	8255267	120050768	3050898245
M25	M	7408	bone	bone	Wrangel Island	Wrangel	9171	505835	120050768	3050898245
M26	M	7194	tooth	tooth	Wrangel Island	Wrangel	41342	2212318	120050768	3050898245
M27	F	5952	tusk	tusk	Wrangel Island	Wrangel	14462	390068	120050768	3050898245
M28	M	6380	tusk	tusk	Wrangel Island	Wrangel	104924	4917399	120050768	3050898245
M30	M	5468	tooth	tooth	Wrangel Island	Wrangel	415	22570	120050768	3050898245
M32	M	5131	tooth	tooth	Wrangel Island	Wrangel	131606	6940637	120050768	3050898245
M6	M	24063	tooth	tooth	Wrangel Island	Wrangel	73083	3897814	120050768	3050898245
M7	F	21846	bone	bone	Wrangel Island	Wrangel	9167	266128	120050768	3050898245
M8	M	15523	tooth	tooth	Wrangel Island	Wrangel	10835	592582	120050768	3050898245
M9	F	13872	tooth	tooth	Wrangel Island	Wrangel	79886	2283384	120050768	3050898245
P001	M	10908	tusk	tusk	New Siberian Islands	Other	87	4661	120050768	3050898245
P003	M	25060	tooth	tooth	New Siberian Islands	Other	23112	1248597	120050768	3050898245
P004	M	12169	tusk	tusk	New Siberian Islands	Other	58879	3156216	120050768	3050898245
P005	F	12775	tusk	tusk	New Siberian Islands	Other	219180	5731398	120050768	3050898245
P007	F	14324	tusk	tusk	New Siberian Islands	Other	137430	3649840	120050768	3050898245
P008	M	15619	tooth	tooth	New Siberian Islands	Other	464	24261	120050768	3050898245
P009	M	15602	tusk	tusk	New Siberian Islands	Other	61169	3398980	120050768	3050898245
P010	M	16049	tusk	tusk	New Siberian Islands	Other	61334	3375598	120050768	3050898245
P011	M	11972	tusk	tusk	Taimyr	Other	1814	96804	120050768	3050898245
P013	F	12555	tibia	bone	Taimyr	Other	4630	137122	120050768	3050898245
